City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vilyuysk,63.7553,121.6247,-12.8,97,97,1.86,RU,1731251119
83,avarua,-21.2078,-159.775,22.03,68,20,2.57,CK,1731251120
84,mil'kovo,55.6078,37.7956,4.08,48,14,2.58,RU,1731251121
85,antofagasta,-23.65,-70.4,19.6,63,9,3.51,CL,1731251005
86,sao francisco,-15.9486,-44.8644,29.36,54,98,1.8,BR,1731251124
87,olonkinbyen,70.9221,-8.7187,1.64,99,100,9.14,SJ,1731251125
88,taoudenni,22.6783,-3.9836,32.75,8,0,5.32,ML,1731251126
89,saipan,15.1355,145.701,28.39,86,20,5.14,MP,1731251063
90,nalut,30.3333,10.85,24.78,21,100,6.91,LY,1731251128
91,guerrero negro,27.9769,-114.0611,16.81,63,0,0.8,MX,1731251129
92,al bawiti,28.3492,28.8659,21.2,34,0,4.0,EG,1731251130
93,kerikeri,-35.2268,173.9474,13.84,91,82,1.62,NZ,1731251131
94,kapuskasing,49.4169,-82.4331,5.05,87,75,2.57,CA,1731251101
95,klyuchi,52.2667,79.1667,0.63,97,100,9.74,RU,1731251133
96,puerto ayora,-0.7393,-90.3518,23.08,81,90,3.58,EC,1731251134
97,hoshangabad,22.75,77.7167,22.93,50,0,1.34,IN,1731251135
98,west island,-12.1568,96.8225,26.99,78,100,8.75,CC,1731251137
99,yenotayevka,47.2456,47.0281,6.96,69,22,3.15,RU,1731251138
100,salavan,15.7167,106.4167,21.36,92,53,0.97,LA,1731251139
101,baoding,38.8511,115.4903,11.29,75,78,2.69,CN,1731251140
102,grums,59.3466,13.1091,3.28,93,100,3.09,SE,1731251056
103,codrington,-38.2667,141.9667,7.1,92,5,3.62,AU,1731251142
104,zaragoza,41.6561,-0.8773,18.34,55,0,7.2,ES,1731250888
105,dubbo,-32.25,148.6167,19.07,68,100,5.14,AU,1731251145
106,cadereyta,25.5833,-99.9833,21.4,74,93,0.79,MX,1731251146
107,joroinen,62.1782,27.8317,-0.36,76,63,1.41,FI,1731251147
108,punta arenas,-53.15,-70.9167,11.06,50,20,10.29,CL,1731251121
109,dunedin,-45.8742,170.5036,12.11,58,59,2.24,NZ,1731251149
110,ilulissat,69.2167,-51.1,-3.99,80,100,5.14,GL,1731251150
111,bismarck,46.8083,-100.7837,2.48,100,100,2.57,US,1731251117
112,bethel,41.3712,-73.414,9.13,56,0,0.89,US,1731251153
113,colonia,50.9333,6.95,11.18,84,100,0.51,DE,1731251154
114,malanje,-9.5402,16.341,23.3,83,96,1.31,AO,1731251156
115,howard springs,-12.497,131.047,28.95,78,78,0.73,AU,1731251157
116,wailua homesteads,22.0669,-159.378,23.44,96,75,4.63,US,1731251158
117,tura,25.5198,90.2201,20.25,91,0,1.56,IN,1731251159
118,bamboo flat,11.7,92.7167,28.05,83,20,1.03,IN,1731251160
119,ofunato,39.0717,141.7167,12.83,91,98,2.5,JP,1731251161
120,dudinka,69.4058,86.1778,-22.2,96,80,3.34,RU,1731250913
121,weno,7.4515,151.8468,27.97,78,40,1.54,FM,1731251163
122,iqaluit,63.7506,-68.5145,-4.15,67,100,7.6,CA,1731250875
123,machico,32.7,-16.7667,29.28,83,40,4.12,PT,1731251166
124,remire-montjoly,4.9167,-52.2667,29.02,84,75,1.03,GF,1731251167
125,katsuura,35.1333,140.3,19.3,87,100,2.58,JP,1731251168
126,la passe,45.5549,-0.8967,17.31,70,69,2.45,FR,1731251169
127,susuman,62.7833,148.1667,-31.41,93,91,1.39,RU,1731251170
128,guiren,33.6697,118.1889,14.45,84,2,2.27,CN,1731251106
129,peniche,39.3558,-9.3811,20.11,86,84,7.05,PT,1731251172
130,praia da vitoria,38.7333,-27.0667,22.14,78,40,4.47,PT,1731251173
131,sungai penuh,-2.0833,101.3833,19.52,98,100,0.49,ID,1731251174
132,ust-nera,64.5667,143.2,-24.74,100,93,1.73,RU,1731251175
133,qaqortoq,60.7167,-46.0333,0.67,90,100,4.72,GL,1731251176
134,vernon,50.2581,-119.2691,5.97,91,47,0.51,CA,1731251177
135,ghadamis,30.1337,9.5007,26.34,20,100,5.78,LY,1731251178
136,egilsstadir,65.2653,-14.3948,8.95,71,75,6.69,IS,1731251179
137,lihue,21.9789,-159.3672,23.77,100,75,4.63,US,1731251181
138,san luis de la loma,17.2706,-100.8939,27.9,78,48,0.14,MX,1731251182
139,ornskoldsvik,63.2909,18.7153,2.53,100,100,3.09,SE,1731251183
140,primero de mayo,-32.2552,-58.4228,30.53,24,0,5.91,AR,1731251184
141,haimen,23.1935,116.6142,22.59,83,87,5.08,CN,1731251185
142,gadzhiyevo,69.2551,33.3362,2.96,95,100,4.32,RU,1731251144
143,hillsborough,37.5741,-122.3794,10.92,87,40,1.54,US,1731251187
144,cockburn town,21.4612,-71.1419,27.84,77,100,9.94,TC,1731251188
145,bandarbeyla,9.4942,50.8122,26.72,78,75,8.17,SO,1731251189
146,aasiaat,68.7098,-52.8699,-5.34,88,100,0.26,GL,1731251190
147,parauna,-16.9478,-50.4486,28.56,55,0,1.89,BR,1731251192
148,nuevitas,21.5453,-77.2644,27.25,85,48,5.09,CU,1731251193
149,vadso,70.0744,29.7487,4.09,87,20,5.14,NO,1731251194
150,leava,-14.3,-178.1667,26.91,81,88,6.53,WF,1731251195
151,anadyr,64.75,177.4833,-5.72,92,100,3.0,RU,1731251196
152,darwin,-12.4611,130.8418,28.99,70,89,2.57,AU,1731251198
153,touros,-5.1989,-35.4608,29.21,63,55,7.6,BR,1731251199
154,geraldton,-28.7667,114.6,18.23,82,20,7.2,AU,1731251200
155,kodiak,57.79,-152.4072,3.73,87,100,8.23,US,1731251201
